"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"03-98-15-08","10",2,NA,67,1,1,7892.65087890625,"Mujer",401500
"00-53-24-86","10",2,220000,58,1,1,19426.1171875,"Mujer",220000
"65-26-44-38","10",2,206000,31,1,1,9892.5615234375,"Mujer",206000
"83-36-38-96","10",2,NA,67,1,1,7193.3447265625,"Mujer",401500
"39-67-66-27","10",2,800000,60,1,1,15804.646484375,"Mujer",800000
"34-76-37-19","10",2,1480000,44,1,1,4124.3212890625,"Mujer",1480000
"05-94-78-70","10",2,215000,35,1,2,15100.091796875,"Mujer",215000
"43-31-49-63","10",2,1800000,45,1,1,7253.23876953125,"Mujer",1800000
"27-81-59-12","10",2,NA,62,1,1,11014.314453125,"Mujer",401500
"35-42-33-53","10",2,100000,58,1,1,11867.0849609375,"Mujer",100000
"06-93-60-95","10",2,NA,35,1,1,7548.60205078125,"Mujer",401500
"73-29-14-77","10",2,NA,50,1,1,4873.8095703125,"Mujer",401500
"24-65-07-00","10",2,-999,18,1,1,18895.90625,"Mujer",401500
"12-31-37-24","10",2,250000,41,1,1,8682.8193359375,"Mujer",250000
"86-58-66-54","10",2,500000,34,1,1,9036.8984375,"Mujer",500000
"59-07-14-46","10",2,600000,47,1,1,26098.908203125,"Mujer",600000
"68-88-28-71","10",2,NA,20,2,1,40936.6875,"Mujer",401500
"39-26-97-60","10",2,NA,27,1,1,9319.73828125,"Mujer",401500
"34-31-89-65","11",2,NA,22,1,2,3199.90283203125,"Mujer",401500
"49-04-10-02","11",2,1700000,38,1,1,732.066162109375,"Mujer",1700000
"85-08-98-67","11",2,1700000,64,1,2,434.356597900391,"Mujer",1700000
"37-23-51-33","11",2,400000,58,1,1,705.248413085938,"Mujer",400000
"08-76-56-92","11",2,1300000,56,1,1,672.786926269531,"Mujer",1300000
"68-81-14-20","11",2,-888,45,1,1,985.556823730469,"Mujer",401500
"08-36-57-39","11",2,300000,60,1,1,1027.98364257812,"Mujer",300000
"20-53-37-69","11",2,NA,69,1,1,1095.99633789062,"Mujer",401500
"33-51-41-43","11",2,33000,29,1,1,525.907836914062,"Mujer",33000
"51-07-25-28","11",2,800000,44,1,1,1455.83251953125,"Mujer",800000
"64-92-32-95","11",2,700000,29,1,1,1416.25231933594,"Mujer",700000
"57-23-52-39","11",2,50000,53,1,1,978.131103515625,"Mujer",50000
"96-55-33-74","11",2,NA,56,1,1,353.516998291016,"Mujer",401500
"03-28-20-82","12",2,1400000,36,1,2,515.840454101562,"Mujer",1400000
"81-70-23-36","12",2,900000,48,1,1,854.607543945312,"Mujer",900000
"07-10-17-59","12",2,NA,42,1,1,1404.73889160156,"Mujer",401500
"58-02-73-16","12",2,500000,37,1,1,1195.89465332031,"Mujer",500000
"67-39-96-72","12",2,NA,72,1,1,266.077301025391,"Mujer",401500
"16-07-58-28","12",2,NA,75,1,1,551.465148925781,"Mujer",401500
"17-74-89-53","12",2,NA,78,1,1,1669.00085449219,"Mujer",401500
"19-36-83-23","12",2,560000,28,1,2,613.639465332031,"Mujer",560000
"15-42-78-54","12",2,NA,18,1,1,1149.47705078125,"Mujer",401500
"47-48-08-19","12",2,100000,53,1,1,921.249938964844,"Mujer",100000
"35-86-64-79","12",2,NA,29,1,1,681.597106933594,"Mujer",401500
"37-82-62-73","12",2,NA,60,1,1,554.991516113281,"Mujer",401500
"02-99-63-04","12",2,382000,28,1,1,731.600952148438,"Mujer",382000
"79-00-63-03","12",2,NA,58,1,1,618.524536132812,"Mujer",401500
"92-49-96-18","13",2,NA,60,1,1,16368.908203125,"Mujer",401500
"92-07-77-97","13",2,NA,60,3,3,18290.755859375,"Mujer",401500
"21-12-91-51","13",2,NA,81,1,1,27243.51953125,"Mujer",401500
"25-46-95-45","13",2,NA,78,1,1,11502.67578125,"Mujer",401500
"02-23-89-20","13",2,NA,67,1,1,40066.421875,"Mujer",401500
"06-35-83-98","13",2,NA,65,1,1,19034.142578125,"Mujer",401500
"24-41-94-55","13",2,300000,34,1,1,16021.734375,"Mujer",300000
"53-91-76-52","13",2,NA,77,1,1,6924.40576171875,"Mujer",401500
"80-53-04-80","13",2,NA,72,1,1,20464.92578125,"Mujer",401500
"27-59-26-76","13",2,NA,68,1,1,21039.787109375,"Mujer",401500
"79-46-85-48","13",2,NA,55,1,1,33500.4765625,"Mujer",401500
"24-05-33-41","13",2,NA,79,1,1,6544.02978515625,"Mujer",401500
"26-95-26-86","13",2,NA,60,1,1,1744.18737792969,"Mujer",401500
"59-07-07-68","13",2,NA,57,1,1,25991.728515625,"Mujer",401500
"19-91-25-15","13",2,120000,55,1,1,23480.712890625,"Mujer",120000
"67-63-05-25","13",2,NA,72,1,1,8975.216796875,"Mujer",401500
"11-30-94-47","13",2,147000,20,1,1,56715.46875,"Mujer",147000
"00-63-55-25","13",2,NA,59,1,1,27410.828125,"Mujer",401500
"37-34-57-84","13",2,800000,49,1,1,14732.3642578125,"Mujer",800000
"49-24-54-16","13",2,NA,69,1,1,25735.826171875,"Mujer",401500
"52-49-55-20","13",2,-888,30,1,1,112068.4140625,"Mujer",401500
"86-99-51-44","13",2,NA,34,1,1,40872.56640625,"Mujer",401500
"61-08-01-63","13",2,NA,19,1,1,18677.255859375,"Mujer",401500
"97-37-06-54","13",2,NA,74,1,1,3944.19409179688,"Mujer",401500
"12-16-58-99","13",2,-999,61,1,1,19816.341796875,"Mujer",401500
"52-51-20-52","13",2,900000,37,1,1,11522.07421875,"Mujer",900000
"77-50-22-68","13",2,NA,77,1,1,5809.5380859375,"Mujer",401500
"54-94-55-38","13",2,-999,27,1,1,31357.525390625,"Mujer",401500
"74-50-01-88","13",2,-999,53,1,1,9564.1923828125,"Mujer",401500
"11-84-38-69","13",2,1200000,70,1,1,59373.8828125,"Mujer",1200000
"10-45-76-44","13",2,NA,79,1,1,3109.58520507812,"Mujer",401500
"63-22-91-33","13",2,1500000,47,1,1,8748.69140625,"Mujer",1500000
"38-43-56-64","13",2,NA,32,1,1,2435.41723632812,"Mujer",401500
"47-85-65-09","13",2,200000,56,1,1,17916.41015625,"Mujer",200000
"20-63-16-69","13",2,NA,45,1,1,157725.171875,"Mujer",401500
"93-88-26-66","13",2,400000,22,1,1,88227.9375,"Mujer",400000
"19-99-51-00","13",2,400000,58,1,1,30299.0078125,"Mujer",400000
"84-50-49-38","13",2,NA,67,1,1,55095.47265625,"Mujer",401500
"49-61-32-82","13",2,NA,75,1,1,13491.0791015625,"Mujer",401500
"52-59-44-87","13",2,-999,46,1,1,31454.37890625,"Mujer",401500
"38-43-87-60","13",2,NA,43,1,1,26160.744140625,"Mujer",401500
"42-63-29-70","13",2,NA,76,1,1,10387.6708984375,"Mujer",401500
"15-09-33-67","13",2,NA,75,1,1,16585.134765625,"Mujer",401500
"33-61-79-16","13",2,NA,32,1,1,25926.837890625,"Mujer",401500
"13-05-85-28","13",2,390000,24,1,1,79626.0546875,"Mujer",390000
"18-44-24-41","13",2,NA,63,1,1,10528.2880859375,"Mujer",401500
"25-69-85-83","13",2,NA,55,1,1,57489.6015625,"Mujer",401500
